name,brand,type,gender,shape,frame_material,color,price,description,rating,reviews_count
SOJOS Retro Polarized Aviator Sunglasses for Women Men Classic 70s Vintage Trendy Square Aviators,SOJOS,sunglasses,unisex,aviator,plastic,black,6727.00,"SOJOS sunglasses with UV protection, suitable for everyday wear.",4.40,8032
WearMe Pro - Reflective Lens Round Trendy Sunglasses,WearMe Pro,sunglasses,unisex,round,plastic,black,5992.00,"WearMe Pro sunglasses with UV protection, suitable for everyday wear.",4.50,19647
TURBOPEP Square Polarized Sunglasses for Men and Women Lightweight Frame Sun Glasses with UV Protection,TURBOPEP,sunglasses,unisex,square,plastic,black,10148.00,"TURBOPEP sunglasses with UV protection, suitable for everyday wear.",4.50,475
"Locs Gangster Oversized Rectangular Horn Rim Sunglasses All Black, mens",Locs,sunglasses,male,rectangular,plastic,black,7.35,Macho men's authentic OG Locs gangster shades with unique color mirrored reflective lens thin plastic oversized hornrim horn rim sunglasses.,4.50,3090
ATTCL Polarized Wrap Sunglasses For Men - Fishing Sports Glasses UV Protection,ATTCL,sunglasses,male,classic,plastic,black,10864.00,"ATTCL sunglasses with UV protection, suitable for everyday wear.",4.40,6299
SOJOS Classic Square Sunglasses for Women Men with Spring Hinge Sunnies SJ1137,SOJOS,sunglasses,unisex,square,plastic,black,10039.00,"SOJOS sunglasses with UV protection, suitable for everyday wear.",4.60,4397
MERRY'S Rectangular Polarized Sports Sunglasses for Men Women Cycling Driving Fishing UV400 Protection S8225,MERRY'S,sunglasses,unisex,rectangular,plastic,black,13.99,"MERRY'S sunglasses with UV protection, suitable for everyday wear.",4.40,6977
SUNGAIT Vintage Round Sunglasses for Women Men Classic Retro Designer Style,SUNGAIT,sunglasses,unisex,round,plastic,black,7050.00,"SUNGAIT sunglasses with UV protection, suitable for everyday wear.",4.60,51091
grinderPUNCH XL Men's Big Wide Frame Black Sunglasses - Extra Large Square 148mm,grinderPUNCH,sunglasses,male,square,plastic,black,15.99,"Dark Black Tint Lens! Perfect for Days Spent outdoors playing sports! X-Large Wide Fit Sunglasses, Lens Width: 60mm, Height: 52mm, Overall Frame Width: 148mm. 100% UV400 Protection. Wide Frame Specially Designed to Fit Large Wide Face or Heads. Standard size sunglasses run 135-138mm wide. *Bonus* includes grinderPUNCH Microfiber Cleaning Pouch",4.20,4207
Buyisgle Eye Glasses Holder Strap - Sunglasses Straps Cords for Men Women Kids - Eyeglass Holders Around Neck - Eyewear String Lanyard Retainer - 2 PCS（Black,Buyisgle,sunglasses,unisex,round,plastic,black,9.96,"Buyisgle sunglasses with UV protection, suitable for everyday wear.",4.60,46
Locs Sunglasses Hardcore Black 0103,Locs,sunglasses,unisex,classic,plastic,black,5190.00,"Locs sunglasses with UV protection, suitable for everyday wear.",4.50,3158
LINVO Polarized Sunglasses for Men Driving Sun glasses Shades 80's Retro Style Design Square,LINVO,sunglasses,male,square,plastic,black,5579.00,"CLASSIC, NEVER OUT OF DATE! WITH LINVO, ENJOY YOUR LIFE, ENJOY THE GOOD !",4.50,4840
