name,brand,type,gender,shape,frame_material,color,price,description,rating,reviews_count
Oakley Square Sunglasses 1,Oakley,sunglasses,male,square,metal,brown,3786,"Коричневые мужские очки формы квадратные, металлическая оправа, UV400.",4.68,22194
Oakley Rectangular Sunglasses 2,Oakley,sunglasses,unisex,rectangular,metal,black,3035,"Черные унисекс очки формы прямоугольные, металлическая оправа, UV400.",4.06,16579
Ray-Ban Round Sunglasses 3,Ray-Ban,sunglasses,unisex,round,plastic,blue,5111,"Синие унисекс очки формы круглые, пластиковая оправа, UV400.",4.34,9135
Ray-Ban Rectangular Sunglasses 4,Ray-Ban,sunglasses,male,rectangular,plastic,gold,4047,"Золотые мужские очки формы прямоугольные, пластиковая оправа, UV400.",4.06,25038
Carrera Aviator Sunglasses 5,Carrera,sunglasses,male,aviator,metal,silver,7381,"Серебристые мужские очки формы авиаторы, металлическая оправа, UV400.",4.82,19802
Vogue Rectangular Sunglasses 6,Vogue,sunglasses,male,rectangular,metal,blue,7701,"Синие мужские очки формы прямоугольные, металлическая оправа, UV400.",3.89,9626
Carrera Round Sunglasses 7,Carrera,sunglasses,unisex,round,metal,black,12334,"Черные унисекс очки формы круглые, металлическая оправа, UV400.",4.07,9502
Oakley Aviator Sunglasses 8,Oakley,sunglasses,male,aviator,plastic,silver,8928,"Серебристые мужские очки формы авиаторы, пластиковая оправа, UV400.",4.56,11974
Polaroid Square Sunglasses 9,Polaroid,sunglasses,female,square,acetate,brown,5874,"Коричневые женские очки формы квадратные, ацетатная оправа, UV400.",4.64,22418
Oakley Round Sunglasses 10,Oakley,sunglasses,unisex,round,acetate,blue,5510,"Синие унисекс очки формы круглые, ацетатная оправа, UV400.",4.0,12453
Vogue Cat-Eye Sunglasses 11,Vogue,sunglasses,unisex,cat-eye,acetate,brown,6813,"Коричневые унисекс очки формы кошачий глаз, ацетатная оправа, UV400.",4.81,25447
Ray-Ban Aviator Sunglasses 12,Ray-Ban,sunglasses,male,aviator,plastic,gold,5886,"Золотые мужские очки формы авиаторы, пластиковая оправа, UV400.",3.88,29941
Carrera Rectangular Sunglasses 13,Carrera,sunglasses,male,rectangular,acetate,silver,9017,"Серебристые мужские очки формы прямоугольные, ацетатная оправа, UV400.",3.97,4595
SOJOS Cat-Eye Sunglasses 14,SOJOS,sunglasses,unisex,cat-eye,plastic,blue,13739,"Синие унисекс очки формы кошачий глаз, пластиковая оправа, UV400.",4.5,29439
Guess Round Sunglasses 15,Guess,sunglasses,female,round,acetate,brown,9585,"Коричневые женские очки формы круглые, ацетатная оправа, UV400.",3.91,1563
Oakley Round Sunglasses 16,Oakley,sunglasses,male,round,acetate,silver,2540,"Серебристые мужские очки формы круглые, ацетатная оправа, UV400.",4.26,19546
Prada Square Sunglasses 17,Prada,sunglasses,unisex,square,metal,blue,12645,"Синие унисекс очки формы квадратные, металлическая оправа, UV400.",4.66,22358
Vogue Square Sunglasses 18,Vogue,sunglasses,unisex,square,plastic,black,8623,"Черные унисекс очки формы квадратные, пластиковая оправа, UV400.",3.99,126
Vogue Round Sunglasses 19,Vogue,sunglasses,unisex,round,metal,blue,11744,"Синие унисекс очки формы круглые, металлическая оправа, UV400.",4.16,20957
